,$schema,@id,label,sampleidentifier,description,hasContextCategory,hasMaterialCategory,hasSpecimenCategory,informalClassification,keywords,registrant,samplingPurpose,relatedResource,producedBy.@id,producedBy.label,producedBy.description,producedBy.hasFeatureOfInterest,producedBy.responsibility,producedBy.resultTime,producedBy.samplingSite.description,producedBy.samplingSite.label,producedBy.samplingSite.location.elevation,producedBy.samplingSite.location.latitude,producedBy.samplingSite.location.longitude,producedBy.samplingSite.placeName,curation.label,curation.description,curation.accessConstraints,curation.curationLocation,curation.responsibility
0,../../iSamplesSchemaBasic0.2.json,https://data.isamples.org/digitalsample/igsn/GBP300156,50223200290000 Alkaid1,igsn:GBP300156,Not Provided,['Earth interior'],['Rock'],['Aggregation'],Not Provided,['Cuttings'],Allegra Hosford Scheirer,,[],,Not Provided,navigation type:GPS,Not Provided,"['Great Bear Petroleum,,Collector', 'Allegra Hosford Scheirer,,Sample Owner']",2015-03-14,Not Provided,Not Provided,59.8 m,69.9476,-148.8346,['AK'],Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
1,../../iSamplesSchemaBasic0.2.json,https://data.isamples.org/digitalsample/igsn/ODP013LFC,Section 32-313*-22R-2,igsn:ODP013LFC,Not Provided,['Not Provided'],['Not Provided'],['Other solid object'],Not Provided,['Core Section'],Curator Integrated Ocean Drilling Program (TAMU),,[],,Not Provided,cruiseFieldPrgrm:DSDP Leg 32,Not Provided,"['Curator,,Collector', 'Curator Integrated Ocean Drilling Program (TAMU),,Sample Owner']",2006-08-10 12:00:00,Not Provided,Not Provided,-3484.0 m,20.1753,-170.9525,[],Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
2,../../iSamplesSchemaBasic0.2.json,https://data.isamples.org/digitalsample/igsn/DSR000GGG,VM29-205TW_0cm,igsn:DSR000GGG,Not Provided,['Not Provided'],['Sediment'],['Other solid object'],Not Provided,['Core Piece'],corelab repository,,[],,Coring>TriggerWeightCorer,Coring>TriggerWeightCorer,Not Provided,"['corelab repository,,Sample Owner']",2016-07-07,Not Provided,Not Provided,Not Provided,0.0,0.0,[],Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
3,../../iSamplesSchemaBasic0.2.json,https://data.isamples.org/digitalsample/igsn/IEUHM00BL,GLORIA07MV RD54,igsn:IEUHM00BL,Not Provided,['Earth interior'],['Rock'],['Aggregation'],Not Provided,['Dredge'],Kevin Johnson,,[],,Dredging>ChainBagDredge,cruiseFieldPrgrm:GLORIA07MV. Dredging>ChainBagDredge. Two pieces of pumice. Some foram and glass shards.,SE Pacific Ocean,"['Kevin Johnson,,Sample Owner']",1993-05-26,Not Provided,Not Provided,-2845.0 m,-26.755,-111.174,[],Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
4,../../iSamplesSchemaBasic0.2.json,https://data.isamples.org/digitalsample/igsn/IEUHM001F,KK810626-3 STA68 RD46,igsn:IEUHM001F,Not Provided,['Earth interior'],['Rock'],['Aggregation'],Not Provided,['Dredge'],Kevin Johnson,,[],,Dredging>ChainBagDredge,"cruiseFieldPrgrm:KK810626-3. Dredging>ChainBagDredge. 1 bag (~50 lbs) fine-grained igneous, highly altered; 8 boulders of same.",W Pacific Ocean,"['Kevin Johnson,,Sample Owner']",1981-09-06,Not Provided,Not Provided,-2170.0 m,19.017,147.043,['N. Mariana Forearc'],Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
5,../../iSamplesSchemaBasic0.2.json,https://data.isamples.org/digitalsample/igsn/ODP014L1B,SubSection 44-392A-17R-2-1C (0-0 cm.),igsn:ODP014L1B,Not Provided,['Not Provided'],['Not Provided'],['Other solid object'],Not Provided,['Core Sub-Piece'],Curator Integrated Ocean Drilling Program (TAMU),,[],,Not Provided,cruiseFieldPrgrm:DSDP Leg 44. Core,Not Provided,"['Curator,,Collector', 'Curator Integrated Ocean Drilling Program (TAMU),,Sample Owner']",2006-08-10 12:00:00,Not Provided,Not Provided,-2601.0 m,29.9105,-76.178,[],Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
6,../../iSamplesSchemaBasic0.2.json,https://data.isamples.org/digitalsample/igsn/ODP0101KF,Core 60-453*-64R,igsn:ODP0101KF,Not Provided,['Not Provided'],['Not Provided'],['Other solid object'],Not Provided,['Core'],Curator Integrated Ocean Drilling Program (TAMU),,[],,Coring,cruiseFieldPrgrm:DSDP Leg 60. Coring,Not Provided,"['Curator,,Collector', 'Curator Integrated Ocean Drilling Program (TAMU),,Sample Owner']",2006-03-22 12:00:00,Not Provided,Not Provided,-4693.0 m,17.907,143.6825,[],Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
7,../../iSamplesSchemaBasic0.2.json,https://data.isamples.org/digitalsample/igsn/NHB006LVR,NMNH 116536-72 (PET),igsn:NHB006LVR,Not Provided,['Earth interior'],['Rock'],['Other solid object'],Not Provided,['Individual Sample'],Adam Mansur,,[],,Not Provided,,Not Provided,"['Adam Mansur,,Sample Owner']",2015-08-06 04:25:19,"Matched to the GeoNames record for Lone Star Geyser, Teton Co., Wyoming, United States (http://geonames.org/5830920) based on feature name, state/province, and country using the situate.py script. Another place name mentioned in the EMu record (Yellowstone National Park) appears to describe a larger, less specific feature and was ignored when determining coordinates given here. Point coordinates were rounded to 2 decimal places from the values given by GeoNames. An arbitrary error radius of 1 km was assigned to all featureCode=GYSR records matched using the script.",Not Provided,Not Provided,44.42,-110.81,['Wyoming'],Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
8,../../iSamplesSchemaBasic0.2.json,https://data.isamples.org/digitalsample/igsn/ODP017CUB,Section 78-543*-14R-3,igsn:ODP017CUB,Not Provided,['Not Provided'],['Not Provided'],['Other solid object'],Not Provided,['Core Section'],Curator Integrated Ocean Drilling Program (TAMU),,[],,Not Provided,cruiseFieldPrgrm:DSDP Leg 78,Not Provided,"['Curator,,Collector', 'Curator Integrated Ocean Drilling Program (TAMU),,Sample Owner']",2006-08-10 12:00:00,Not Provided,Not Provided,-5633.0 m,15.7123,-58.6537,[],Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
9,../../iSamplesSchemaBasic0.2.json,https://data.isamples.org/digitalsample/igsn/NHB003E9V,NMNH R7782-22 (MIN),igsn:NHB003E9V,Not Provided,['Earth interior'],['Mineral'],['Other solid object'],Not Provided,['Individual Sample'],Adam Mansur,,[],,Not Provided,,Not Provided,"['Adam Mansur,,Sample Owner']",2015-05-30 03:14:12,This record was georeferenced by an intern in the NMNH Information Technology Office. No estimate of precision was given. All Mineral Sciences records georeferenced as part of this program were assigned a minimum uncertainty of 10 km.,Not Provided,Not Provided,60.8726,-146.556,['Alaska'],Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
